name	branch	upstream_url	upstream_ref	default
mquickjs	deps/mquickjs/ee50431eac9b	https://github.com/bellard/mquickjs.git	ee50431eac9b14b99f722b537ec4cac0c8dd75ab	sparse
lvgl	deps/lvgl/0019fc541f75	https://github.com/lvgl/lvgl.git	0019fc541f759b3323add63034502b0248afc58f	sparse
ffmpeg	deps/ffmpeg/n4.4.7	https://git.ffmpeg.org/ffmpeg.git	n4.4.7	sparse
libchdr	deps/libchdr/25fcb10cde7b	https://github.com/rtissera/libchdr.git	25fcb10cde7b9af71dbbb76d68033a4975af0a08	sparse
zstd	deps/zstd/f8745da6ff1a	https://github.com/facebook/zstd.git	f8745da6ff1ad1e7bab384bd1f9d742439278e99	sparse
zlib	deps/zlib/da607da739fa	https://github.com/madler/zlib.git	da607da739fa6047df13e66a2af6b8bec7c2a498	sparse
libretro-common	deps/libretro-common/e2e3eccfd245	https://github.com/libretro/libretro-common.git	e2e3eccfd245a04771e6a435320b42234c8cc4d7	sparse
gambatte	deps/gambatte/2147d9257911	https://github.com/libretro/gambatte-libretro.git	2147d9257911b484b07666994ceecc4c5a2cb318	sparse
gpsp	deps/gpsp/eca3bee1e2d2	https://github.com/libretro/gpsp.git	eca3bee1e2d2043d42f0480012c1e7ec85498f88	sparse
gpsp_multicore	deps/gpsp_multicore/63dd94953c27	https://github.com/tzubertowski/gpsp_multicore.git	63dd94953c27bb2664872331bbc7f212a088db4b	sparse
picodrive	deps/picodrive/f0d4a0118a97	https://github.com/libretro/picodrive.git	f0d4a0118a9733a1f10bce5a4ac772c474f9300d	sparse
snes9x2005	deps/snes9x2005/b60356971fc9	https://github.com/libretro/snes9x2005.git	b60356971fc9caae02cd0853676dced886a08be7	sparse
snes9x2002	deps/snes9x2002/39e0d8c6daf4	https://github.com/libretro/snes9x2002.git	39e0d8c6daf4b1b1302eeecfee8309570aeb6a82	sparse
quicknes	deps/quicknes/7848e1ac22b1	https://github.com/libretro/QuickNES_Core.git	7848e1ac22b1c69d056ae4cb57710651ff1dd169	sparse
fceumm	deps/fceumm/3a84a6fd0ba2	https://github.com/libretro/libretro-fceumm.git	3a84a6fd0ba20dd4877c06b1d58741172148395f	sparse
gearboy	deps/gearboy/36f9faf04bcb	https://github.com/drhelius/Gearboy.git	36f9faf04bcb6c023176de12dddae99ffc1ceb10	sparse
pce-fast	deps/pce-fast/9ba79648d6ec	https://github.com/libretro/beetle-pce-fast-libretro.git	9ba79648d6ec85e833aef719d7f359117498d89c	sparse
qpsx	deps/qpsx/368310aa1b94	https://github.com/angree/sf2000-qpsx-playstation-emulator.git	368310aa1b94fe764b8fdf4ddbd7afd06d7bd2a1	sparse
